Designator,Mid X,Mid Y,Rotation,Layer
D1,97.871,-81.339,0.0,top
D2,85.001,-89.739,0.0,top
D3,111.871,-90.039,0.0,top
D4,97.871,-98.839,0.0,top
R1,74.855,-67.0,180.0,top
R2,82.455,-67.0,180.0,top
R3,90.0122,-67.3427,180.0,top
R4,97.6122,-67.5427,180.0,top
SW1,97.8127,-120.3322,0.0,top
SW2,78.6527,-130.0322,0.0,top
SW3,116.9627,-129.7922,0.0,top
SW4,97.7527,-139.2522,0.0,top
U1,114.6,-71.6685,0.0,bottom
